"acfrequency";"r Pin";"i Pin"
1e+06;4.23628e-10;2.9531e-05
1.00231e+06;4.25122e-10;2.9599e-05
1.00462e+06;4.26623e-10;2.96673e-05
1.00693e+06;4.2813e-10;2.97357e-05
1.00925e+06;4.29645e-10;2.98042e-05
1.01158e+06;4.31167e-10;2.98729e-05
1.01391e+06;4.32695e-10;2.99418e-05
1.01625e+06;4.34231e-10;3.00108e-05
1.01859e+06;4.35774e-10;3.008e-05
1.02094e+06;4.37323e-10;3.01493e-05
1.02329e+06;4.3888e-10;3.02188e-05
1.02565e+06;4.40445e-10;3.02885e-05
1.02802e+06;4.42016e-10;3.03583e-05
1.03039e+06;4.43595e-10;3.04283e-05
1.03276e+06;4.45181e-10;3.04984e-05
1.03514e+06;4.46774e-10;3.05688e-05
1.03753e+06;4.48375e-10;3.06392e-05
1.03992e+06;4.49983e-10;3.07099e-05
1.04232e+06;4.51598e-10;3.07806e-05
1.04472e+06;4.53221e-10;3.08516e-05
1.04713e+06;4.54851e-10;3.09227e-05
1.04954e+06;4.56489e-10;3.0994e-05
1.05196e+06;4.58135e-10;3.10655e-05
1.05439e+06;4.59788e-10;3.11371e-05
1.05682e+06;4.61449e-10;3.12088e-05
1.05925e+06;4.63117e-10;3.12808e-05
1.0617e+06;4.64793e-10;3.13529e-05
1.06414e+06;4.66477e-10;3.14252e-05
1.0666e+06;4.68168e-10;3.14976e-05
1.06905e+06;4.69868e-10;3.15702e-05
1.07152e+06;4.71575e-10;3.1643e-05
1.07399e+06;4.7329e-10;3.1716e-05
1.07647e+06;4.75013e-10;3.17891e-05
1.07895e+06;4.76744e-10;3.18623e-05
1.08143e+06;4.78483e-10;3.19358e-05
1.08393e+06;4.8023e-10;3.20094e-05
1.08643e+06;4.81985e-10;3.20832e-05
1.08893e+06;4.83748e-10;3.21572e-05
1.09144e+06;4.8552e-10;3.22313e-05
1.09396e+06;4.87299e-10;3.23056e-05
1.09648e+06;4.89087e-10;3.23801e-05
1.09901e+06;4.90883e-10;3.24547e-05
1.10154e+06;4.92687e-10;3.25295e-05
1.10408e+06;4.945e-10;3.26045e-05
1.10662e+06;4.9632e-10;3.26797e-05
1.10917e+06;4.9815e-10;3.2755e-05
1.11173e+06;4.99988e-10;3.28305e-05
1.11429e+06;5.01834e-10;3.29062e-05
1.11686e+06;5.03689e-10;3.29821e-05
1.11944e+06;5.05552e-10;3.30581e-05
1.12202e+06;5.07424e-10;3.31343e-05
1.1246e+06;5.09304e-10;3.32107e-05
1.1272e+06;5.11194e-10;3.32872e-05
1.1298e+06;5.13092e-10;3.3364e-05
1.1324e+06;5.14998e-10;3.34409e-05
1.13501e+06;5.16914e-10;3.3518e-05
1.13763e+06;5.18838e-10;3.35952e-05
1.14025e+06;5.20772e-10;3.36727e-05
1.14288e+06;5.22714e-10;3.37503e-05
1.14551e+06;5.24665e-10;3.38281e-05
1.14815e+06;5.26625e-10;3.39061e-05
1.1508e+06;5.28594e-10;3.39843e-05
1.15345e+06;5.30573e-10;3.40626e-05
1.15611e+06;5.3256e-10;3.41411e-05
1.15878e+06;5.34557e-10;3.42198e-05
1.16145e+06;5.36563e-10;3.42987e-05
1.16413e+06;5.38578e-10;3.43778e-05
1.16681e+06;5.40602e-10;3.4457e-05
1.1695e+06;5.42636e-10;3.45365e-05
1.1722e+06;5.44679e-10;3.46161e-05
1.1749e+06;5.46731e-10;3.46959e-05
1.17761e+06;5.48793e-10;3.47759e-05
1.18032e+06;5.50865e-10;3.4856e-05
1.18304e+06;5.52946e-10;3.49364e-05
1.18577e+06;5.55037e-10;3.50169e-05
1.1885e+06;5.57137e-10;3.50976e-05
1.19124e+06;5.59247e-10;3.51785e-05
1.19399e+06;5.61367e-10;3.52596e-05
1.19674e+06;5.63497e-10;3.53409e-05
1.1995e+06;5.65636e-10;3.54224e-05
1.20226e+06;5.67785e-10;3.5504e-05
1.20504e+06;5.69944e-10;3.55859e-05
1.20781e+06;5.72114e-10;3.56679e-05
1.2106e+06;5.74293e-10;3.57501e-05
1.21339e+06;5.76482e-10;3.58326e-05
1.21619e+06;5.78681e-10;3.59152e-05
1.21899e+06;5.80891e-10;3.59979e-05
1.2218e+06;5.83111e-10;3.60809e-05
1.22462e+06;5.8534e-10;3.61641e-05
1.22744e+06;5.87581e-10;3.62475e-05
1.23027e+06;5.89831e-10;3.6331e-05
